user_id,book_id,loan_date,due_date
90,168,2024-01-19,2024-08-07
225,112,2024-01-05,2024-09-08
288,84,2024-05-27,2024-10-29
162,9,2024-08-08,2024-11-09
166,5,2024-03-21,2024-05-02
357,162,2024-01-21,2024-09-29
309,66,2024-07-31,2024-04-30
169,97,2024-03-31,2024-04-14
398,96,2024-07-07,2024-05-12
221,139,2024-04-03,2024-01-09
281,34,2024-02-15,2024-02-09
210,86,2024-04-15,2024-10-30
413,2,2024-05-20,2024-03-10
175,176,2024-04-24,2024-02-24
236,19,2024-05-30,2024-02-02
346,18,2024-07-27,2024-01-25
81,115,2024-02-23,2024-07-29
308,4,2024-01-18,2024-01-19
372,108,2024-11-09,2024-02-25
255,130,2024-01-04,2024-05-20
268,87,2024-05-29,2024-07-26
278,116,2024-01-12,2024-11-09
202,48,2024-04-13,2024-08-29
476,135,2024-07-10,2024-05-24
280,99,2024-08-29,2024-07-24
58,97,2024-01-16,2024-06-13
185,178,2024-10-03,2024-10-18
225,126,2024-09-03,2024-07-08
498,131,2024-01-03,2024-06-24
499,180,2024-03-09,2024-05-05
275,196,2024-06-25,2024-08-04
344,164,2024-06-19,2024-03-08
423,159,2024-10-06,2024-09-15
302,69,2024-02-06,2024-05-20
115,34,2024-01-05,2024-09-30
347,104,2024-10-11,2024-08-14
318,169,2024-02-04,2024-09-15
25,3,2024-10-23,2024-08-06
375,179,2024-03-25,2024-04-07
379,74,2024-02-26,2024-07-20
112,92,2024-08-25,2024-01-27
216,140,2024-03-02,2024-03-26
29,118,2024-08-20,2024-10-28
191,101,2024-10-07,2024-05-18
375,85,2024-07-16,2024-08-07
466,97,2024-10-17,2024-11-04
4,89,2024-07-25,2024-11-04
299,81,2024-08-28,2024-03-12
195,88,2024-04-08,2024-04-05
175,165,2024-04-13,2024-09-24
218,25,2024-11-09,2024-03-20
230,155,2024-05-10,2024-02-22
99,47,2024-02-18,2024-08-25
341,110,2024-11-10,2024-04-09
193,110,2024-03-17,2024-09-11
131,113,2024-06-15,2024-07-30
11,67,2024-07-09,2024-03-21
211,146,2024-01-29,2024-10-20
185,84,2024-08-27,2024-05-08
487,72,2024-01-29,2024-01-04
77,197,2024-07-22,2024-03-22
461,70,2024-02-01,2024-08-30
188,62,2024-08-12,2024-10-30
459,165,2024-04-11,2024-03-29
357,86,2024-09-29,2024-04-01
5,32,2024-08-07,2024-04-03
288,119,2024-09-15,2024-01-07
89,175,2024-11-04,2024-01-04
168,100,2024-01-27,2024-08-30
175,119,2024-02-11,2024-09-08
213,73,2024-02-20,2024-02-09
138,43,2024-01-18,2024-01-30
293,185,2024-09-03,2024-08-14
495,64,2024-09-22,2024-08-24
116,71,2024-07-10,2024-07-31
365,20,2024-04-03,2024-04-18
454,134,2024-01-22,2024-06-16
196,182,2024-06-08,2024-02-22
79,19,2024-02-12,2024-01-11
59,170,2024-05-15,2024-01-10
95,67,2024-06-03,2024-05-27
476,7,2024-03-25,2024-01-04
83,136,2024-01-10,2024-02-17
364,68,2024-10-07,2024-03-15
49,68,2024-01-28,2024-09-02
111,187,2024-10-21,2024-03-26
416,198,2024-10-30,2024-04-09
306,171,2024-09-10,2024-10-25
43,54,2024-07-16,2024-07-23
13,25,2024-01-01,2024-07-17
329,123,2024-06-11,2024-07-03
127,108,2024-08-13,2024-08-11
491,125,2024-01-18,2024-01-23
353,99,2024-09-08,2024-01-27
424,79,2024-08-20,2024-07-20
22,123,2024-02-14,2024-09-08
282,116,2024-07-29,2024-10-30
392,140,2024-10-14,2024-01-11
440,102,2024-04-18,2024-05-22
7,54,2024-09-19,2024-08-05
337,193,2024-10-14,2024-10-13
427,41,2024-02-12,2024-04-11
242,157,2024-03-15,2024-03-01
263,99,2024-04-04,2024-11-10
376,138,2024-04-17,2024-11-07
28,13,2024-06-03,2024-05-30
66,55,2024-08-29,2024-07-27
368,192,2024-10-27,2024-04-29
29,68,2024-07-25,2024-02-03
443,200,2024-10-31,2024-11-05
225,138,2024-05-23,2024-03-14
265,132,2024-04-30,2024-10-14
326,11,2024-09-05,2024-07-08
273,83,2024-05-20,2024-03-28
56,51,2024-10-24,2024-02-12
431,60,2024-09-13,2024-03-02
313,80,2024-10-31,2024-09-16
492,3,2024-08-03,2024-06-06
435,152,2024-06-15,2024-11-10
405,73,2024-09-26,2024-02-12
218,174,2024-04-08,2024-02-18
422,83,2024-05-02,2024-02-26
219,140,2024-06-18,2024-09-14
295,197,2024-03-14,2024-09-29
208,140,2024-04-11,2024-04-18
446,163,2024-04-01,2024-02-23
313,107,2024-09-07,2024-08-06
39,102,2024-01-06,2024-03-05
408,170,2024-07-28,2024-01-21
454,48,2024-01-23,2024-02-04
170,56,2024-04-02,2024-01-09
428,106,2024-05-07,2024-04-20
308,91,2024-08-26,2024-03-25
452,13,2024-04-20,2024-11-08
370,140,2024-05-26,2024-06-02
101,120,2024-08-24,2024-02-25
201,47,2024-06-17,2024-01-17
163,195,2024-04-24,2024-09-15
455,168,2024-02-09,2024-08-03
165,59,2024-10-28,2024-08-05
392,169,2024-01-22,2024-07-12
494,78,2024-02-14,2024-02-19
1,185,2024-02-24,2024-09-20
323,17,2024-09-20,2024-10-25
314,52,2024-06-26,2024-04-22
429,35,2024-01-24,2024-10-10
461,183,2024-01-17,2024-06-18
141,41,2024-01-23,2024-09-14
332,53,2024-01-01,2024-08-03
345,156,2024-08-29,2024-06-15
270,126,2024-07-28,2024-09-07
265,43,2024-05-24,2024-02-16
385,164,2024-05-04,2024-06-10
239,188,2024-03-12,2024-04-27
60,1,2024-03-02,2024-08-25
494,190,2024-03-09,2024-01-07
292,46,2024-09-02,2024-09-24
130,48,2024-04-09,2024-04-26
399,59,2024-11-08,2024-08-01
356,123,2024-10-05,2024-08-16
15,80,2024-02-28,2024-04-03
433,156,2024-03-10,2024-05-18
290,112,2024-03-25,2024-09-01
193,181,2024-04-07,2024-04-24
486,67,2024-05-17,2024-08-08
32,90,2024-09-07,2024-10-15
489,82,2024-07-16,2024-10-11
478,7,2024-10-26,2024-03-09
346,52,2024-04-24,2024-02-26
165,167,2024-02-22,2024-08-08
385,55,2024-10-21,2024-06-13
422,37,2024-09-10,2024-10-23
61,53,2024-03-01,2024-09-08
329,5,2024-04-10,2024-07-03
11,120,2024-04-24,2024-08-17
419,39,2024-05-30,2024-08-02
179,22,2024-04-17,2024-07-14
329,89,2024-09-07,2024-07-15
140,119,2024-03-09,2024-10-26
323,127,2024-07-12,2024-02-21
336,29,2024-09-25,2024-08-30
197,130,2024-09-19,2024-08-22
492,16,2024-06-18,2024-03-09
340,157,2024-07-26,2024-01-06
307,154,2024-05-21,2024-02-06
379,189,2024-02-06,2024-08-06
373,143,2024-08-13,2024-02-08
58,158,2024-01-22,2024-06-25
303,50,2024-06-05,2024-03-16
65,189,2024-08-01,2024-09-09
486,172,2024-04-26,2024-06-28
485,109,2024-07-08,2024-04-25
310,65,2024-01-11,2024-10-04
62,28,2024-06-04,2024-07-13
129,93,2024-04-23,2024-05-22
29,14,2024-11-09,2024-04-15
327,31,2024-03-26,2024-02-24
344,136,2024-08-10,2024-03-05
216,126,2024-05-02,2024-01-14
472,33,2024-11-09,2024-04-15
209,172,2024-03-22,2024-04-25
452,190,2024-04-04,2024-02-05
7,18,2024-01-04,2024-08-26
60,197,2024-04-26,2024-07-16
54,48,2024-08-16,2024-09-07
297,139,2024-04-06,2024-05-17
69,63,2024-01-20,2024-05-02
5,130,2024-01-29,2024-05-15
297,46,2024-10-14,2024-06-20
260,129,2024-03-18,2024-05-24
74,17,2024-02-09,2024-07-15
53,186,2024-07-12,2024-09-18
226,18,2024-04-12,2024-10-20
273,150,2024-04-26,2024-07-25
189,15,2024-07-09,2024-07-17
308,19,2024-04-08,2024-08-14
469,172,2024-09-15,2024-03-10
335,178,2024-07-06,2024-03-25
317,21,2024-01-06,2024-10-09
468,176,2024-05-11,2024-08-02
371,5,2024-04-01,2024-06-06
45,51,2024-01-06,2024-06-14
215,147,2024-02-27,2024-09-11
257,118,2024-04-10,2024-10-24
100,20,2024-10-11,2024-02-06
5,37,2024-08-03,2024-08-19
60,72,2024-01-08,2024-09-29
27,175,2024-02-07,2024-06-18
223,112,2024-08-05,2024-03-25
201,131,2024-03-19,2024-09-15
162,115,2024-06-22,2024-10-15
208,34,2024-05-11,2024-06-22
379,183,2024-08-19,2024-03-02
221,30,2024-07-03,2024-06-13
60,90,2024-01-24,2024-03-29
45,42,2024-10-06,2024-10-03
227,88,2024-04-12,2024-01-25
351,195,2024-07-10,2024-05-29
235,189,2024-07-08,2024-01-17
101,5,2024-02-08,2024-03-25
141,74,2024-04-14,2024-07-18
293,142,2024-09-10,2024-11-05
333,83,2024-07-03,2024-11-04
396,151,2024-06-06,2024-04-20
91,104,2024-02-24,2024-07-09
158,27,2024-04-19,2024-02-23
397,24,2024-10-27,2024-06-10
218,158,2024-05-28,2024-05-30
282,174,2024-03-04,2024-11-10
472,180,2024-04-26,2024-09-09
24,195,2024-06-10,2024-08-15
473,4,2024-09-15,2024-05-12
43,9,2024-03-08,2024-03-29
229,162,2024-01-24,2024-09-28
94,8,2024-10-08,2024-04-17
446,172,2024-06-05,2024-04-13
8,2,2024-09-12,2024-02-21
413,199,2024-10-03,2024-08-07
460,173,2024-05-24,2024-08-12
498,194,2024-03-13,2024-03-24
5,114,2024-02-02,2024-02-22
137,65,2024-01-23,2024-07-13
22,145,2024-08-16,2024-04-22
354,63,2024-05-18,2024-05-05
341,171,2024-03-03,2024-02-14
54,64,2024-02-13,2024-04-15
313,101,2024-01-19,2024-07-11
14,84,2024-02-09,2024-06-17
196,68,2024-02-18,2024-06-21
369,30,2024-11-03,2024-10-08
82,65,2024-05-08,2024-01-14
247,36,2024-01-17,2024-07-25
221,16,2024-03-03,2024-04-20
82,183,2024-06-14,2024-11-07
359,89,2024-08-02,2024-05-02
463,70,2024-03-06,2024-02-15
424,103,2024-05-10,2024-02-02
112,36,2024-07-03,2024-05-28
170,24,2024-06-07,2024-06-02
163,80,2024-06-20,2024-01-21
325,84,2024-04-25,2024-10-20
388,59,2024-08-06,2024-02-12
300,100,2024-01-21,2024-06-10
254,70,2024-10-20,2024-07-17
430,105,2024-01-10,2024-03-06
256,106,2024-02-04,2024-03-11
79,181,2024-09-08,2024-06-11
91,47,2024-03-29,2024-01-01
487,181,2024-02-15,2024-06-29
447,121,2024-02-03,2024-05-08
464,173,2024-05-31,2024-05-17
267,23,2024-10-03,2024-06-17
284,158,2024-07-12,2024-02-03
223,164,2024-09-16,2024-02-03
423,126,2024-07-05,2024-04-03
472,133,2024-05-02,2024-11-04
240,88,2024-09-01,2024-04-29
222,55,2024-07-27,2024-01-22
487,199,2024-05-06,2024-07-11
4,99,2024-03-12,2024-11-06
313,178,2024-01-04,2024-03-02
115,151,2024-08-29,2024-06-09
167,126,2024-03-28,2024-09-29
45,63,2024-11-05,2024-06-02
83,150,2024-01-04,2024-07-28
135,105,2024-10-31,2024-05-12
273,73,2024-04-14,2024-09-25
266,35,2024-04-24,2024-04-21
208,36,2024-04-22,2024-11-07
26,142,2024-10-28,2024-05-18
429,23,2024-04-07,2024-06-03
268,158,2024-01-29,2024-07-27
76,168,2024-04-19,2024-04-10
245,30,2024-06-03,2024-02-18
360,130,2024-06-27,2024-07-27
22,198,2024-06-16,2024-02-26
494,45,2024-08-18,2024-06-03
7,53,2024-09-09,2024-07-06
33,177,2024-05-30,2024-10-30
239,81,2024-04-25,2024-04-15
123,186,2024-04-27,2024-06-21
212,37,2024-07-20,2024-10-31
350,34,2024-08-22,2024-06-04
250,194,2024-06-19,2024-02-03
435,63,2024-07-24,2024-04-25
352,180,2024-01-12,2024-06-28
335,72,2024-07-10,2024-05-04
199,79,2024-08-24,2024-02-03
413,23,2024-02-21,2024-01-18
489,182,2024-01-20,2024-01-09
294,89,2024-05-17,2024-10-07
102,122,2024-01-24,2024-05-01
292,104,2024-07-26,2024-01-14
107,79,2024-10-27,2024-06-14
52,1,2024-03-09,2024-01-15
9,152,2024-05-09,2024-10-01
367,46,2024-09-15,2024-09-18
268,113,2024-09-14,2024-05-10
186,177,2024-02-21,2024-10-02
94,170,2024-06-03,2024-04-05
68,188,2024-08-19,2024-10-16
248,54,2024-01-05,2024-05-03
112,98,2024-09-27,2024-08-12
42,134,2024-02-09,2024-06-14
367,34,2024-09-01,2024-02-03
190,29,2024-08-30,2024-09-19
412,62,2024-03-08,2024-05-21
397,91,2024-03-02,2024-04-16
231,172,2024-04-16,2024-03-24
387,8,2024-11-02,2024-05-08
84,17,2024-07-18,2024-09-28
45,42,2024-04-05,2024-02-20
431,116,2024-05-29,2024-11-05
285,108,2024-08-31,2024-01-15
86,122,2024-05-28,2024-06-20
354,132,2024-07-17,2024-03-14
318,182,2024-10-12,2024-06-13
406,59,2024-07-17,2024-06-21
322,152,2024-04-13,2024-01-07
136,166,2024-07-18,2024-03-17
339,93,2024-01-18,2024-02-28
300,185,2024-09-07,2024-10-14
151,4,2024-03-01,2024-07-03
6,83,2024-04-12,2024-08-28
37,80,2024-07-10,2024-09-04
202,13,2024-06-29,2024-09-27
38,109,2024-05-08,2024-07-19
197,143,2024-09-21,2024-02-25
429,144,2024-08-11,2024-10-28
39,162,2024-01-10,2024-01-11
446,84,2024-08-24,2024-01-29
498,75,2024-04-17,2024-01-03
466,91,2024-09-01,2024-07-30
169,134,2024-08-29,2024-10-19
92,72,2024-09-04,2024-07-07
322,95,2024-05-29,2024-06-13
174,90,2024-09-18,2024-08-21
205,1,2024-05-22,2024-01-16
326,80,2024-02-11,2024-07-04
120,111,2024-07-12,2024-06-04
110,197,2024-06-19,2024-05-08
62,156,2024-07-28,2024-01-11
220,155,2024-08-04,2024-06-02
64,139,2024-10-13,2024-10-18
485,88,2024-05-18,2024-08-30
402,52,2024-10-20,2024-03-15
409,90,2024-10-25,2024-08-19
212,47,2024-01-17,2024-07-06
359,134,2024-10-29,2024-09-26
341,96,2024-04-02,2024-01-28
253,149,2024-04-11,2024-06-14
362,134,2024-07-22,2024-09-20
4,163,2024-10-05,2024-10-10
449,67,2024-10-06,2024-11-01
479,83,2024-05-17,2024-10-30
74,12,2024-02-02,2024-10-26
402,12,2024-01-20,2024-04-10
38,134,2024-10-19,2024-07-19
301,9,2024-07-21,2024-08-11
67,180,2024-09-09,2024-10-06
489,77,2024-07-04,2024-06-07
166,139,2024-06-22,2024-08-30
335,25,2024-11-03,2024-06-16
320,85,2024-06-10,2024-04-10
381,152,2024-09-03,2024-06-20
339,195,2024-08-27,2024-07-13
95,137,2024-08-23,2024-09-30
456,110,2024-11-09,2024-05-02
211,62,2024-10-19,2024-05-22
38,71,2024-07-28,2024-08-14
342,69,2024-02-19,2024-04-10
24,200,2024-04-24,2024-10-06
261,109,2024-09-30,2024-10-02
474,8,2024-09-30,2024-08-29
163,34,2024-01-09,2024-01-30
325,133,2024-02-08,2024-06-24
65,139,2024-08-23,2024-10-17
259,90,2024-07-20,2024-03-30
277,42,2024-11-08,2024-04-27
225,44,2024-06-04,2024-09-10
78,2,2024-05-15,2024-07-12
406,90,2024-03-13,2024-01-24
309,161,2024-04-04,2024-04-22
409,126,2024-06-21,2024-07-15
499,76,2024-07-22,2024-11-03
113,134,2024-04-18,2024-02-28
123,173,2024-04-04,2024-10-30
90,172,2024-11-02,2024-01-10
318,188,2024-11-05,2024-03-01
313,79,2024-05-29,2024-04-27
471,187,2024-08-08,2024-01-05
253,160,2024-10-11,2024-07-08
140,181,2024-07-23,2024-04-18
374,62,2024-03-21,2024-07-28
496,126,2024-06-12,2024-05-21
240,55,2024-08-28,2024-08-25
157,155,2024-03-05,2024-09-03
410,76,2024-07-18,2024-10-19
122,167,2024-03-10,2024-11-04
87,65,2024-03-14,2024-03-28
140,26,2024-07-31,2024-02-26
17,128,2024-10-30,2024-03-03
309,128,2024-08-07,2024-09-05
183,125,2024-03-13,2024-05-05
226,15,2024-10-27,2024-01-02
452,132,2024-03-16,2024-06-08
330,197,2024-09-30,2024-08-17
42,35,2024-10-12,2024-07-11
55,14,2024-05-24,2024-03-24
435,145,2024-08-31,2024-03-23
388,55,2024-05-10,2024-01-21
453,62,2024-02-12,2024-10-09
426,15,2024-01-20,2024-10-26
172,126,2024-05-31,2024-05-17
186,163,2024-01-06,2024-06-06
363,107,2024-05-06,2024-09-25
423,196,2024-02-15,2024-08-23
114,181,2024-10-10,2024-09-24
200,80,2024-02-23,2024-10-06
367,186,2024-09-25,2024-10-29
158,98,2024-05-15,2024-07-01
299,194,2024-06-06,2024-01-08
71,76,2024-03-30,2024-03-22
155,22,2024-09-30,2024-07-11
374,9,2024-08-08,2024-01-17
366,112,2024-09-20,2024-03-14
162,98,2024-01-13,2024-02-13
181,175,2024-11-03,2024-06-05
259,24,2024-06-15,2024-09-06
383,77,2024-08-16,2024-01-10
37,55,2024-03-10,2024-05-06
14,168,2024-03-02,2024-09-23
17,181,2024-01-18,2024-05-10
160,91,2024-02-14,2024-04-20
18,54,2024-07-27,2024-06-05
171,118,2024-01-19,2024-02-21
36,176,2024-04-03,2024-09-13
67,165,2024-08-06,2024-01-04
34,93,2024-01-30,2024-08-13
82,80,2024-10-08,2024-01-05
158,57,2024-03-29,2024-09-11
332,131,2024-03-08,2024-01-17
118,103,2024-07-29,2024-09-18
339,94,2024-07-02,2024-07-02
329,69,2024-06-26,2024-01-22
65,17,2024-06-02,2024-04-08
492,139,2024-06-09,2024-10-01
337,79,2024-03-03,2024-06-25
371,28,2024-01-27,2024-10-04
392,118,2024-09-22,2024-09-17
313,74,2024-06-04,2024-10-18
170,106,2024-10-23,2024-04-19
18,174,2024-04-02,2024-10-16
499,66,2024-06-30,2024-09-08
118,95,2024-09-27,2024-01-18
320,153,2024-10-12,2024-10-26
